Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,4WD,Gasoline,midsize car,17,25,20
CADILLAC CT6,3.6,6.0,SemiAuto-10,4WD,Gasoline,large car,18,27,21
CADILLAC Escalade,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,14,23,17
CADILLAC Escalade,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,14,21,17
CADILLAC XT4,2.0,4.0,SemiAuto-9,2WD,Gasoline,small SUV,24,30,26
CADILLAC XT4,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,22,29,24
CADILLAC XT5,2.0,4.0,SemiAuto-9,2WD,Gasoline,small SUV,21,28,24
CADILLAC XT5,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,21,26,23
CADILLAC XT6,3.6,6.0,SemiAuto-9,2WD,Gasoline,small SUV,18,25,20
CADILLAC XT6,3.6,6.0,SemiAuto-9,4WD,Gasoline,small SUV,17,24,20
CHEVROLET Blazer,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,21,28,24
CHEVROLET Blazer,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,21,27,23
CHEVROLET Bolt EV,,,CVT,2WD,Electricity,station wagon,127,108,118
CHEVROLET Camaro,2.0,4.0,Man-6,2WD,Gasoline,small car,20,30,23
CHEVROLET Camaro,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,22,31,25
CHEVROLET Camaro,3.6,6.0,SemiAuto-10,2WD,Gasoline,small car,19,29,22
CHEVROLET Colorado,2.5,4.0,Auto-6,2WD,Gasoline,pickup,20,26,22
CHEVROLET Colorado,2.5,4.0,Auto-6,4WD,Gasoline,pickup,19,24,21
CHEVROLET Colorado,2.8,4.0,Auto-6,2WD,Diesel,pickup,20,30,23
CHEVROLET Colorado,2.8,4.0,Auto-6,4WD,Diesel,pickup,19,28,22
CHEVROLET Colorado,3.6,6.0,Auto-8,2WD,Gasoline,pickup,18,25,20
CHEVROLET Colorado,3.6,6.0,Auto-8,4WD,Gasoline,pickup,17,24,19
CHEVROLET Colorado ZR2,2.8,4.0,Auto-6,4WD,Diesel,pickup,18,22,19
CHEVROLET Colorado ZR2,3.6,6.0,Auto-8,4WD,Gasoline,pickup,16,18,17
CHEVROLET Corvette,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,15,27,19
CHEVROLET Equinox,1.5,4.0,Auto-6,2WD,Gasoline,small SUV,26,31,28
